neighbourhood,count,mean,median,min,max
"Tribeca",107.00,212.50,225.00,60.00,332.00
"Flatiron District",55.00,188.09,200.00,65.00,321.00
"NoHo",53.00,204.94,199.00,75.00,330.00
"West Village",649.00,193.12,195.00,50.00,334.00
"Financial District",652.00,183.97,189.00,12.00,332.00
"Greenwich Village",340.00,180.26,177.50,43.00,334.00
"Midtown",1140.00,180.81,175.00,30.00,334.00
"Murray Hill",424.00,180.15,175.00,40.00,329.00
"Chelsea",947.00,178.67,175.00,12.00,334.00
"Theater District",243.00,177.03,169.00,40.00,334.00